CRN,semester_code,studentID,course_code,credentialnum,letter_grade
1092,202502,773,C0053,14,C+
1096,202102,4170,C0138,31,A-
1173,202004,577,C0031,31,A-
1064,202504,4675,C0172,22,C
1082,202002,254,C0087,38,A+
1192,202002,4923,C0157,8,B+
1109,202501,4334,C0008,27,A
1078,202202,2025,C0049,7,B+
1198,202304,3347,C0101,28,B-
1056,202202,2363,C0181,29,B
1112,202004,2816,C0150,36,D
1020,202303,4426,C0118,31,D-
1180,202003,2496,C0141,24,A+
1081,202303,2106,C0159,7,B
1033,202102,2538,C0157,35,I
1072,202301,1464,C0126,8,B+
1131,202502,1454,C0079,17,D+
1145,202203,4984,C0154,14,A-
1143,202201,2134,C0162,10,C-
1015,202201,4483,C0009,22,B
1113,202302,4051,C0167,17,C-
1079,202202,4652,C0175,16,B
1074,202104,3126,C0065,1,C
1150,202202,447,C0041,21,B
1118,202402,4325,C0182,14,A+
1088,202301,4128,C0095,32,C-
1087,202302,2745,C0063,29,A
1067,202303,3451,C0182,26,A
1197,202303,715,C0144,23,D-
1022,202003,440,C0199,3,A+
1064,202103,2097,C0094,35,D
1084,202202,3521,C0088,6,C
1106,202004,4623,C0058,38,B+
1075,202001,542,C0156,18,I
1078,202204,3810,C0041,20,A
1133,202003,2463,C0027,39,A-
1147,202001,1053,C0040,37,C
1068,202403,1176,C0190,40,B
1093,202403,2594,C0177,11,B-
1011,202302,2351,C0093,33,A+
1073,202402,3066,C0132,21,I
1009,202404,2252,C0121,11,A
1028,202302,4761,C0130,28,C
1137,202304,1245,C0196,36,D
1124,202201,632,C0103,31,I
1080,202102,4587,C0121,37,B+
1146,202404,641,C0078,27,D-
1158,202503,1948,C0186,17,D
1065,202204,1785,C0161,22,A-
1197,202202,2337,C0182,14,D+
1078,202303,4578,C0067,1,I
1049,202203,653,C0124,33,D+
1086,202103,4427,C0199,11,C-
1162,202504,3502,C0079,4,C
1023,202104,2850,C0110,19,D+
1042,202303,3866,C0193,4,D
1134,202402,18,C0128,16,F
1016,202104,4670,C0175,1,I
1170,202002,450,C0187,13,D
1030,202201,3451,C0108,39,A-
1076,202301,235,C0140,11,B-
1187,202104,2388,C0159,29,D+
1149,202103,2847,C0117,23,D
1069,202501,2478,C0105,1,C+
1063,202304,2308,C0141,39,A-
1021,202302,1458,C0046,33,A+
1081,202303,4660,C0186,9,C
1131,202502,2734,C0049,39,A
1124,202301,1019,C0169,19,D
1084,202202,2838,C0119,22,A+
1130,202404,4703,C0032,18,B-
1049,202304,4199,C0101,8,C+
1090,202502,3945,C0146,5,C-
1140,202001,1567,C0100,3,C-
1083,202502,4364,C0080,9,C
1174,202002,4391,C0076,33,C-
1085,202404,4749,C0028,27,B+
1016,202104,4057,C0190,25,A
1003,202501,2212,C0051,9,I
1038,202503,634,C0089,40,B-
1033,202201,657,C0038,23,C-
1087,202201,754,C0041,35,C+
1027,202504,4892,C0035,15,I
1132,202303,3394,C0033,22,B+
1002,202004,2148,C0163,11,I
1172,202301,1735,C0013,16,A-
1099,202502,4122,C0039,22,D
1030,202001,1777,C0169,12,B
1165,202504,1564,C0016,1,D
1125,202404,336,C0143,20,A+
1084,202202,4727,C0189,1,B
1098,202503,3695,C0032,35,D-
1189,202104,3365,C0030,6,B+
1134,202502,3077,C0060,25,D-
1148,202002,1243,C0166,5,D+
1186,202203,1071,C0091,20,C
1067,202304,3740,C0085,31,A-
1086,202504,46,C0093,11,A+
1067,202201,2045,C0062,16,A+
1184,202202,635,C0182,39,C
1127,202402,1280,C0119,10,F
1052,202503,2566,C0131,2,D+
1062,202501,4060,C0087,12,A-
1161,202403,1026,C0187,17,A+
1012,202501,3055,C0129,20,C+
1174,202101,4479,C0085,18,A
1094,202503,1601,C0039,24,A
1002,202104,2588,C0184,34,D-
1016,202103,2482,C0006,28,C
1164,202103,4343,C0154,11,B+
1163,202503,1635,C0076,18,A-
1079,202102,1720,C0099,9,C-
1170,202401,1279,C0053,10,D
1180,202104,3747,C0066,2,D-
1028,202304,4834,C0163,2,C+
1122,202004,3799,C0055,30,A
1033,202101,1408,C0063,12,D+
1095,202203,3908,C0097,12,D+
1128,202401,4190,C0088,3,A
1112,202403,671,C0118,21,D+
1046,202003,1896,C0189,28,I
1099,202404,2288,C0154,9,B+
1172,202502,178,C0099,14,F
1189,202004,4549,C0141,2,C+
1082,202303,4611,C0049,28,I
1096,202102,4681,C0029,25,C
1052,202301,1225,C0110,37,A
1102,202102,4775,C0043,13,B+
1039,202403,815,C0155,21,A+
1033,202003,3155,C0092,12,C
1080,202103,4638,C0039,33,B-
1066,202302,1458,C0129,38,B
1100,202202,625,C0074,20,A
1157,202303,2179,C0191,2,C
1070,202503,419,C0188,5,A-
1065,202104,3533,C0084,5,B
1129,202403,3137,C0120,34,B-
1074,202303,4149,C0018,13,C-
1078,202101,3392,C0076,3,D
1110,202302,930,C0073,22,B+
1199,202504,2849,C0186,13,B
1011,202104,158,C0030,27,A
1190,202001,989,C0117,36,B+
1140,202503,1047,C0069,26,D
1028,202202,2163,C0093,24,A-
1087,202404,1281,C0144,3,C
1028,202404,1137,C0079,11,I
1035,202004,957,C0134,27,D
1196,202202,2628,C0127,40,A-
1079,202204,387,C0181,4,F
1066,202303,2477,C0158,25,D
1037,202303,2122,C0169,6,F
1012,202403,4079,C0007,32,D
1158,202101,1207,C0069,17,A+
1000,202402,4958,C0184,29,C-
1044,202404,742,C0116,5,D-
1010,202103,80,C0188,39,B-
1034,202302,3752,C0114,5,F
1127,202401,1983,C0172,11,B
1046,202102,3830,C0017,34,B+
1145,202004,1484,C0154,7,A
1098,202402,2093,C0154,27,B+
1108,202001,1336,C0128,18,D-
1104,202304,4661,C0042,27,A-
1179,202104,3440,C0145,29,F
1101,202504,786,C0017,5,C
1157,202303,2021,C0029,8,C
1146,202201,2070,C0075,36,A-
1146,202102,1695,C0148,15,C-
1073,202002,3792,C0107,24,A+
1180,202303,3845,C0158,10,A-
1005,202002,4282,C0020,32,C-
1169,202204,2313,C0170,33,C-
1094,202504,1227,C0062,27,D
1181,202504,1512,C0095,28,B
1113,202202,1678,C0071,25,C
1175,202202,4440,C0054,19,A-
1168,202104,2214,C0124,35,B+
1152,202004,4620,C0109,9,A-
1004,202103,631,C0046,20,B
1184,202103,2868,C0098,20,F
1039,202501,610,C0025,15,F
1176,202203,274,C0081,30,C+
1168,202401,2061,C0038,5,A+
1019,202303,2261,C0001,33,F
1111,202403,1531,C0108,37,A
1114,202302,1895,C0039,34,F
1071,202503,4005,C0039,36,A
1066,202203,1738,C0159,38,A+
1015,202303,1366,C0078,22,B+
1187,202401,919,C0011,24,D-
1024,202201,27,C0163,39,D
1195,202101,3817,C0184,40,A+
1086,202402,616,C0052,2,D-
1028,202404,1705,C0003,39,C+
1172,202502,1919,C0165,21,I
1168,202101,1799,C0141,15,I
1038,202103,20,C0153,5,B
1022,202202,4155,C0091,4,C+
1046,202304,2215,C0079,8,A
1158,202201,2860,C0070,15,F
1152,202002,556,C0010,19,B-
1159,202002,1725,C0168,32,A-
1111,202502,4363,C0129,35,A-
1116,202201,1575,C0060,6,F
1120,202404,2009,C0041,19,B+
1156,202302,2428,C0109,13,D
1020,202201,2015,C0060,19,C-
1115,202202,3388,C0134,26,C-
1190,202403,3337,C0133,3,D
1025,202304,1283,C0022,8,D+
1070,202401,3063,C0046,32,B
1137,202102,3563,C0007,27,C-
1091,202202,4923,C0177,21,B+
1137,202002,1556,C0120,24,B+
1172,202304,4428,C0163,12,B
1179,202404,2238,C0189,27,D+
1063,202204,4482,C0026,40,A
1167,202403,1915,C0026,30,B+
1041,202503,1597,C0150,40,I
1070,202004,4980,C0122,38,C-
1151,202404,3157,C0089,2,B
1164,202403,4052,C0191,38,B+
1096,202102,4313,C0158,10,B
1044,202501,1100,C0116,25,I
1130,202201,3996,C0166,11,C
1140,202403,1643,C0128,23,B+
1000,202201,2006,C0155,7,A+
1005,202101,2764,C0119,38,C
1075,202301,397,C0006,31,A
1184,202201,881,C0151,27,A-
1168,202101,164,C0167,17,I
1088,202402,4670,C0185,29,B+
1137,202101,1202,C0159,13,B
1018,202402,3336,C0145,3,C+
1043,202503,2639,C0082,1,C+
1002,202203,1265,C0006,31,A-
1166,202404,1511,C0059,17,A+
1182,202401,1339,C0059,4,D
1001,202301,2336,C0111,7,D+
1112,202103,3008,C0165,28,A+
1195,202202,3959,C0111,1,B+
1077,202503,1538,C0152,40,A
1177,202402,825,C0068,31,F
1072,202103,592,C0190,32,A-
1065,202102,692,C0194,25,B-
1126,202401,3815,C0058,1,I
1060,202102,4922,C0168,29,C
1089,202304,1214,C0025,31,B+
1105,202402,2547,C0124,5,D
1190,202004,442,C0002,3,A-
1196,202503,684,C0110,21,C
1008,202504,4022,C0003,32,I
1174,202401,4273,C0022,8,I
1024,202204,3116,C0168,37,F
1019,202403,3382,C0026,5,D
1013,202401,2466,C0052,33,A+
1068,202201,2601,C0074,34,B
1037,202501,2368,C0058,25,C
1121,202103,2980,C0193,10,F
1011,202204,4948,C0182,21,B-
1013,202402,4978,C0200,34,C-
1193,202304,2958,C0137,25,A+
1091,202301,1329,C0055,13,F
1129,202103,1774,C0049,17,C
1175,202004,3876,C0059,38,F
1016,202504,715,C0191,21,A-
1061,202203,858,C0166,2,B+
1089,202304,2211,C0136,4,D
1099,202303,1773,C0180,4,B
1183,202302,3714,C0141,34,D
1029,202002,1141,C0095,39,F
1091,202203,4168,C0033,38,C-
1194,202001,2029,C0055,9,B
1163,202003,3518,C0011,31,C-
1183,202201,779,C0054,17,A+
1088,202303,2160,C0021,4,D-
1120,202301,20,C0097,26,B+
1020,202003,2725,C0083,36,D
1014,202504,2532,C0042,20,C
1165,202402,2201,C0152,24,A-
1173,202304,170,C0057,1,B-
1063,202304,1413,C0117,1,A
1108,202202,3423,C0020,5,A+
1081,202503,4682,C0177,30,F
1109,202303,2981,C0050,18,D+
1138,202002,392,C0037,32,D-
1115,202302,703,C0067,10,B+
1151,202501,684,C0138,15,A+
1159,202004,3236,C0089,27,C
1065,202303,4515,C0038,19,A
1191,202004,4619,C0161,19,C
1092,202404,3847,C0184,11,B+
1125,202303,3048,C0137,37,D
1196,202304,2329,C0134,19,C+
1146,202304,1328,C0058,21,D-
1182,202501,4940,C0030,24,D-
1006,202302,235,C0200,31,C
1138,202201,1152,C0014,12,B-
1080,202301,4841,C0071,22,B-
1162,202503,3880,C0058,18,C-
1133,202302,316,C0181,6,C+
1174,202304,1003,C0177,37,A
1112,202301,3728,C0012,31,C-
1031,202102,3273,C0087,40,D
1041,202104,1150,C0178,9,B-
1089,202401,2731,C0020,15,C-
1141,202204,3857,C0034,31,B-
1136,202301,2626,C0025,24,C
1145,202003,3011,C0008,30,D-
1128,202203,3847,C0030,34,D
1166,202503,1655,C0040,12,B+
1117,202504,1154,C0064,7,B
1083,202204,869,C0126,34,C
1187,202501,1735,C0123,32,C
1195,202203,4969,C0176,12,B-
1157,202203,482,C0023,27,B+
1101,202102,4386,C0011,27,B-
1097,202504,2300,C0104,34,B+
1027,202001,1778,C0152,23,B-
1093,202003,624,C0116,4,A-
1066,202204,3761,C0083,26,D-
1091,202203,1123,C0075,30,A
1044,202401,4136,C0124,24,I
1103,202102,69,C0057,22,D+
1130,202203,4556,C0006,40,C+
1019,202101,714,C0066,20,A-
1102,202404,1377,C0141,24,I
1124,202402,1816,C0081,17,B
1181,202002,645,C0107,8,B
1138,202303,2312,C0061,9,B+
1127,202302,196,C0152,29,C-
1097,202002,3757,C0141,2,A+
1112,202401,2081,C0011,36,I
1055,202101,120,C0113,24,F
1105,202202,4970,C0102,3,B+
1033,202501,2566,C0176,6,I
1063,202004,2383,C0041,5,B-
1096,202104,3287,C0018,14,C-
1045,202104,2767,C0063,30,A+
1001,202004,4955,C0161,32,D
1197,202303,4931,C0167,7,D-
1087,202201,2417,C0124,16,I
1007,202302,62,C0059,36,I
1057,202101,4391,C0090,9,A
1046,202204,585,C0124,16,D-
1050,202304,4467,C0142,10,D+
1030,202004,3672,C0029,34,C+
1135,202404,2027,C0162,16,C-
1182,202002,2249,C0065,9,D-
1046,202001,4479,C0062,7,C+
1037,202002,585,C0037,37,B+
1158,202504,1806,C0173,35,D-
1164,202303,1833,C0146,8,D+
1026,202304,2538,C0186,39,I
1177,202402,1064,C0075,3,B
1037,202501,2934,C0088,26,F
1056,202001,3797,C0185,21,B+
1153,202404,4906,C0195,10,A-
1114,202503,358,C0067,5,B+
1036,202402,3689,C0092,8,A-
1194,202302,3575,C0007,17,I
1178,202202,1205,C0169,14,F
1056,202003,2920,C0084,2,D-
1185,202104,3513,C0096,38,C+
1136,202303,4526,C0133,9,C-
1157,202401,4073,C0027,9,D
1101,202403,2820,C0149,2,C-
1017,202004,1479,C0093,11,A
1060,202301,737,C0103,2,D+
1143,202001,1802,C0080,37,B+
1149,202201,485,C0039,34,B+
1036,202102,1790,C0001,21,I
1046,202202,4195,C0075,11,D-
1132,202202,411,C0047,21,B
1121,202204,93,C0150,7,C
1157,202404,1265,C0104,2,B-
1035,202504,1876,C0085,30,A+
1146,202301,1329,C0112,29,F
1166,202502,3779,C0091,27,D-
1122,202504,1606,C0097,14,D
1094,202303,3642,C0180,36,B-
1147,202002,865,C0182,21,F
1188,202502,4016,C0154,39,A-
1112,202104,1034,C0060,37,C
1146,202503,1266,C0111,21,B-
1079,202001,1078,C0198,40,A-
1057,202201,2153,C0010,35,D-
1166,202504,2045,C0182,2,B-
1126,202202,4020,C0120,8,A-
1060,202502,400,C0057,26,D+
1102,202002,4969,C0178,15,A+
1057,202104,2893,C0033,38,C
1091,202202,603,C0009,14,C-
1053,202104,176,C0063,5,F
1097,202204,3383,C0002,8,B+
1150,202103,2003,C0009,30,B+
1070,202101,4306,C0152,1,B
1105,202304,4076,C0083,29,A
1187,202103,1203,C0008,34,A-
1117,202503,3621,C0145,6,B+
1015,202501,54,C0055,38,F
1034,202304,3702,C0106,13,C-
1068,202102,1010,C0099,5,C+
1002,202002,4196,C0013,17,A
1080,202201,3901,C0107,7,C-
1066,202301,4399,C0017,11,B-
1006,202301,4492,C0165,39,F
1011,202401,1764,C0161,10,C
1024,202002,4313,C0145,27,F
1111,202503,2260,C0037,29,D+
1014,202404,339,C0151,32,D+
1142,202302,2567,C0153,7,B+
1120,202101,4377,C0197,24,C
1177,202402,2216,C0088,14,B
1186,202201,23,C0124,14,F
1102,202002,4027,C0180,17,C-
1055,202301,672,C0037,7,D
1118,202503,3331,C0001,7,D
1097,202503,3721,C0151,8,B
1037,202102,3035,C0149,21,C+
1116,202504,1373,C0009,32,C-
1133,202504,4276,C0005,2,D
1000,202003,4245,C0009,36,D+
1108,202201,4223,C0163,27,B
1089,202203,3603,C0098,22,D-
1148,202003,1914,C0062,29,B
1174,202102,3336,C0173,2,A-
1109,202202,2868,C0197,21,A+
1119,202402,1069,C0128,19,B+
1147,202403,1727,C0046,26,A
1187,202304,3491,C0134,20,C
1097,202304,1689,C0084,34,D+
1139,202201,4943,C0131,4,I
1046,202003,726,C0101,1,B
1113,202003,562,C0032,17,B+
1149,202402,4071,C0086,13,I
1008,202201,2276,C0073,9,A+
1071,202003,1368,C0156,22,B+
1172,202203,4913,C0126,2,D-
1151,202203,1018,C0079,29,D-
1077,202001,417,C0002,22,B-
1186,202102,3832,C0112,22,B
1114,202103,4230,C0128,30,A-
1037,202101,2222,C0118,33,D-
1108,202504,919,C0066,5,D+
1036,202002,2787,C0184,31,F
1173,202304,2731,C0080,35,D-
1101,202304,3668,C0144,5,D+
1011,202102,2185,C0041,3,A
1039,202201,1209,C0175,10,B-
1072,202502,110,C0184,29,I
1053,202503,2604,C0121,12,D
1141,202304,117,C0024,29,A-
1049,202201,3176,C0099,6,A-
1068,202001,1003,C0031,34,A
1169,202201,4003,C0003,24,B+
1092,202202,3239,C0123,31,A-
1039,202201,3674,C0046,9,B+
1194,202004,3095,C0074,27,C
1099,202004,982,C0106,7,C+
1052,202103,2228,C0151,39,C
1030,202102,2,C0193,19,D
1107,202304,1231,C0044,1,A-
1191,202302,3131,C0179,10,A-
1081,202302,3027,C0118,22,C-
1003,202203,2108,C0079,32,B+
1090,202202,3464,C0117,12,A
1073,202002,3763,C0145,21,B-
1187,202502,4570,C0146,28,C-
1090,202404,204,C0163,40,A-
1029,202201,2782,C0150,20,D-
1008,202304,4327,C0080,29,D+
1184,202101,1134,C0059,14,B-
1098,202202,3428,C0131,14,C+
1177,202204,1488,C0072,37,F
1130,202303,4206,C0068,32,A
1104,202501,2952,C0165,27,A+
1188,202304,3835,C0042,34,A+
1164,202004,2709,C0139,8,A
1078,202504,1867,C0073,31,A+
1093,202403,843,C0103,35,I
1096,202301,1562,C0046,5,A+
1035,202101,1750,C0185,37,B
1020,202302,1109,C0182,16,B-
1104,202202,3318,C0064,35,A+
1097,202103,131,C0051,24,D+
1190,202302,2459,C0048,24,B-
1003,202403,2724,C0045,32,D-
1102,202401,4657,C0140,36,B
1098,202301,3923,C0025,17,B+
1019,202103,3454,C0102,11,B-
1157,202501,2494,C0022,5,D+
1109,202403,3660,C0024,21,D+
1106,202303,235,C0087,12,B+
1181,202004,4846,C0009,19,A
1013,202104,2210,C0012,9,B
1062,202101,384,C0069,20,C
1160,202304,1142,C0059,17,B
1020,202103,966,C0004,8,D-
1134,202201,438,C0021,2,D
1117,202004,2915,C0091,12,D+
1197,202503,4928,C0004,29,D
1049,202403,3502,C0187,13,C
1018,202002,1141,C0191,25,I
1182,202204,3693,C0199,11,B-
1090,202003,872,C0055,1,C+
1026,202002,441,C0007,19,D
1032,202304,716,C0051,16,D
1138,202402,4406,C0086,32,D-
1193,202204,4392,C0151,29,A+
1128,202203,3799,C0182,37,F
1058,202002,3168,C0068,39,D
1114,202002,2884,C0164,17,A
1074,202303,3990,C0182,16,B+
1070,202502,1021,C0043,5,A-
1133,202302,2128,C0060,8,B-
1187,202202,2188,C0149,37,B-
1156,202402,3947,C0064,37,A-
1052,202503,819,C0038,28,A
1049,202102,1934,C0177,32,A
1007,202501,4548,C0043,33,B+
1070,202201,350,C0174,3,I
1092,202403,3449,C0153,32,C-
1080,202503,1516,C0078,18,C
1145,202304,3145,C0147,25,A+
1170,202302,605,C0045,26,D-
1153,202104,4402,C0026,16,B+
1153,202301,2009,C0031,19,B-
1160,202004,1128,C0145,18,D
1108,202404,3835,C0190,18,I
1178,202202,1808,C0110,11,F
1126,202404,4794,C0115,36,A+
1188,202302,2333,C0139,35,D+
1122,202002,3639,C0046,33,I
1012,202204,2149,C0139,15,B+
1114,202403,4964,C0079,23,I
1141,202004,4580,C0169,21,A+
1057,202202,3188,C0028,38,A+
1049,202401,468,C0028,16,C+
1045,202402,939,C0120,24,A+
1134,202102,3478,C0007,35,C
1091,202101,1962,C0111,7,A+
1121,202202,926,C0018,9,A-
1108,202301,183,C0135,2,C
1128,202202,4966,C0122,34,A-
1041,202503,4780,C0158,3,A-
1194,202202,4050,C0134,17,I
1017,202301,793,C0150,24,A-
1097,202302,3513,C0151,8,D+
1092,202001,4903,C0025,26,A+
1022,202001,2388,C0176,32,F
1107,202401,3062,C0155,34,C
1198,202103,1971,C0161,16,C+
1119,202104,4802,C0120,12,C-
1145,202002,4001,C0096,2,D-
1030,202103,534,C0085,10,B
1182,202203,2018,C0090,16,D
1154,202402,737,C0117,11,F
1082,202001,2460,C0109,3,F
1054,202103,685,C0031,28,I
1197,202203,3028,C0056,5,B-
1057,202202,4844,C0094,32,C+
1183,202502,1905,C0004,27,D+
1062,202101,1086,C0147,11,B-
1056,202102,2751,C0006,1,I
1184,202104,1112,C0117,7,D-
1064,202504,1608,C0089,23,A-
1035,202102,1856,C0133,38,A
1173,202303,4702,C0113,3,C-
1158,202004,104,C0136,21,C+
1179,202402,1221,C0043,28,C+
1140,202203,2223,C0071,1,B+
1081,202503,710,C0010,17,F
1039,202003,1895,C0091,19,A-
1130,202002,797,C0082,33,D
1055,202104,252,C0171,5,D-
1183,202001,1976,C0096,21,C
1030,202401,1914,C0152,14,A-
1096,202004,4673,C0076,36,B
1144,202302,3407,C0103,38,D-
1072,202302,814,C0050,32,A
1194,202401,1158,C0072,34,C
1178,202203,1009,C0057,40,A+
1056,202003,2784,C0072,34,I
1141,202502,1985,C0152,29,B
1080,202201,591,C0192,3,D
1075,202401,3616,C0159,30,B-
1092,202503,1052,C0178,20,I
1055,202301,3122,C0176,25,B-
1172,202004,1589,C0048,12,D-
1010,202102,643,C0131,22,C-
1194,202404,3330,C0036,31,C
1035,202001,859,C0057,12,D-
1103,202501,3451,C0167,19,F
1184,202002,3241,C0063,8,B+
1150,202203,2560,C0194,34,C+
1146,202103,4084,C0084,17,C+
1012,202504,4780,C0115,21,D
1062,202504,4659,C0049,29,C-
1169,202503,73,C0016,25,D-
1076,202502,627,C0049,11,C-
1131,202402,969,C0140,10,D+
1074,202304,1133,C0087,32,B+
1003,202204,1008,C0009,22,A-
1128,202404,3880,C0042,16,A+
1170,202404,3541,C0156,12,C-
1060,202303,1977,C0192,1,C
1195,202304,1370,C0091,7,B
1116,202502,2044,C0137,40,F
1120,202002,4353,C0078,5,A-
1001,202303,3998,C0098,23,D-
1005,202104,174,C0020,18,D+
1119,202402,3997,C0101,10,A+
1034,202401,92,C0026,15,A-
1141,202301,2970,C0145,29,F
1121,202101,3192,C0133,15,B
1004,202102,3820,C0075,16,A-
1027,202403,4757,C0012,6,C+
1115,202203,2925,C0120,9,I
1040,202502,2432,C0162,39,D+
1043,202302,2923,C0193,34,I
1166,202003,3836,C0015,40,A+
1093,202403,117,C0094,16,B
1026,202103,4792,C0150,25,B
1060,202102,1050,C0033,6,D+
1178,202003,4209,C0047,17,C
1124,202301,736,C0192,19,D-
1086,202202,210,C0117,3,D+
1075,202303,4096,C0086,9,A-
1144,202004,2179,C0127,32,B+
1110,202501,1141,C0091,17,I
1032,202302,2868,C0121,7,A-
1097,202203,3750,C0155,23,D
1021,202503,4495,C0145,32,I
1000,202103,2813,C0165,12,I
1040,202402,3943,C0173,13,D+
1112,202001,4108,C0037,6,C
1062,202002,151,C0153,20,A-
1084,202403,1723,C0116,3,B+
1074,202202,2938,C0151,39,D-
1099,202403,1128,C0025,30,B+
1147,202203,1951,C0018,38,A+
1057,202103,2958,C0113,21,D
1164,202501,1331,C0047,15,D
1095,202304,4123,C0107,14,C-
1129,202304,3960,C0134,36,D-
1192,202104,2759,C0048,24,D-
1089,202203,3717,C0086,33,A-
1018,202203,249,C0113,1,C-
1163,202402,654,C0153,23,I
1009,202002,452,C0064,19,B-
1140,202202,961,C0189,36,I
1128,202503,4065,C0095,35,I
1188,202101,2453,C0170,31,D
1073,202502,1362,C0018,24,C-
1186,202501,2665,C0103,5,A+
1056,202401,4320,C0052,28,C-
1018,202404,3980,C0186,32,A-
1007,202502,1031,C0076,15,D
1015,202502,4005,C0008,26,D-
1106,202004,2569,C0053,13,B-
1149,202503,1501,C0159,11,D+
1170,202103,4879,C0101,29,A-
1044,202401,2958,C0156,4,D
1122,202202,3511,C0066,28,C-
1134,202502,408,C0110,16,A
1143,202203,3415,C0178,6,B
1129,202204,3920,C0041,26,C+
1013,202403,1580,C0018,20,D+
1057,202201,159,C0143,36,D+
1134,202402,2673,C0079,4,F
1051,202404,1017,C0022,29,B+
1009,202103,2844,C0078,14,I
1026,202002,190,C0075,38,D
1110,202204,4776,C0043,15,D-
1039,202101,2326,C0065,7,B+
1168,202202,1249,C0004,4,A
1181,202202,2551,C0197,10,A+
1066,202202,897,C0006,23,C
1031,202304,60,C0199,8,B-
1068,202501,4386,C0016,17,B-
1077,202302,1664,C0060,27,D
1107,202502,2308,C0057,33,F
1178,202501,1958,C0117,10,D-
1186,202002,4662,C0055,2,C
1172,202401,3572,C0018,20,I
1179,202203,2619,C0094,19,D-
1169,202502,896,C0085,26,B-
1029,202504,1518,C0088,26,F
1048,202402,1032,C0025,20,B-
1001,202404,3959,C0118,19,B-
1135,202302,3592,C0142,15,F
1158,202103,3759,C0079,26,A+
1015,202301,2425,C0130,29,B+
1030,202302,1499,C0125,22,I
1149,202403,3764,C0035,8,B+
1067,202404,4860,C0006,26,A+
1060,202004,224,C0089,15,I
1082,202203,1,C0186,17,B+
1038,202201,2880,C0084,18,C-
1141,202104,2965,C0038,31,D+
1071,202504,1485,C0031,2,C
1091,202304,4738,C0106,36,D-
1051,202102,4647,C0110,18,D+
1024,202103,846,C0116,27,F
1167,202304,3739,C0016,23,D+
1163,202401,864,C0192,2,D+
1062,202302,1719,C0069,6,C-
1041,202201,4424,C0053,3,B+
1086,202304,4868,C0166,6,D
1147,202004,2801,C0108,25,F
1090,202304,3709,C0037,20,B+
1197,202502,1242,C0181,25,F
1015,202404,1992,C0113,15,B-
1091,202401,3039,C0040,22,D+
1021,202404,2987,C0166,34,A+
1069,202402,2590,C0162,16,I
1092,202204,2509,C0099,22,B-
1147,202402,4073,C0088,6,A+
1126,202503,3520,C0009,39,D+
1041,202002,4025,C0131,32,A
1088,202104,594,C0185,19,D+
1164,202503,484,C0102,18,A-
1165,202204,1349,C0008,35,C-
1132,202003,491,C0174,8,B
1135,202501,2967,C0054,32,I
1112,202003,3425,C0070,17,D-
1039,202203,4090,C0115,29,D
1005,202303,510,C0033,34,C-
1050,202102,4491,C0189,4,B-
1169,202203,423,C0020,24,I
1155,202202,4649,C0159,13,B-
