course_code,name,num_of_credits,credentialnum,prereq_course_code
C0126,Vision-oriented motivating hub,3,5,C0096
C0127,Managed discrete moratorium,1,8,C0113
C0128,Monitored dedicated Graphical User Interface,1,29,C0020
C0129,Integrated well-modulated pricing structure,4,1,C0023
C0130,Business-focused regional core,5,7,C0003
C0131,Customizable grid-enabled process improvement,7,10,C0003
C0132,Open-architected regional policy,1,34,C0070
C0133,Virtual transitional website,7,11,C0104
C0134,Secured uniform installation,3,4,C0020
C0135,Progressive object-oriented policy,6,27,C0105
C0136,Extended static productivity,7,18,C0093
C0137,Business-focused systemic success,3,24,C0026
C0138,Exclusive coherent artificial intelligence,4,18,C0126
C0139,Progressive eco-centric support,8,31,C0011
C0140,Triple-buffered multi-tasking encryption,2,25,C0094
C0141,Profit-focused 4thgeneration hierarchy,1,27,C0086
C0142,Diverse client-server flexibility,3,40,C0012
C0143,Open-architected local firmware,8,13,C0043
C0144,Future-proofed mission-critical database,7,31,C0141
C0145,Team-oriented incremental knowledgebase,8,4,C0035
C0146,Compatible system-worthy projection,7,3,C0039
C0147,Operative transitional leverage,1,38,C0013
C0148,Organic asynchronous support,2,21,C0101
C0149,Future-proofed value-added hub,5,1,C0058
C0150,Intuitive systematic collaboration,5,31,C0018
C0151,Mandatory didactic access,7,8,C0134
C0152,Inverse dedicated Local Area Network,9,35,C0128
C0153,Polarized demand-driven concept,4,14,C0137
C0154,Multi-tiered bi-directional neural-net,9,13,C0026
C0155,Virtual static matrices,5,39,C0048
C0156,Managed fault-tolerant open architecture,9,30,C0062
C0157,Proactive actuating model,1,19,C0068
C0158,Function-based real-time analyzer,9,38,C0127
C0159,Visionary bottom-line standardization,4,30,C0111
C0160,Function-based heuristic software,8,13,C0013
C0161,Intuitive maximized customer loyalty,9,20,C0110
C0162,Organic asymmetric collaboration,2,18,C0085
C0163,Automated didactic alliance,6,35,C0101
C0164,Innovative interactive groupware,1,5,C0034
C0165,Reverse-engineered incremental middleware,7,32,C0153
C0166,Mandatory interactive parallelism,5,9,C0082
C0167,Networked 6thgeneration monitoring,3,31,C0142
C0168,Versatile systematic software,2,34,C0090
C0169,Operative reciprocal hub,5,6,C0055
C0170,Visionary secondary success,3,32,C0031
C0171,Organic human-resource pricing structure,7,39,C0018
C0172,Realigned coherent installation,8,35,C0111
C0173,Upgradable next generation solution,3,24,C0009
C0174,Cross-group zero tolerance standardization,4,28,C0091
C0175,Team-oriented optimal project,2,27,C0069
C0176,Customizable stable Graphical User Interface,1,19,C0068
C0177,Ameliorated homogeneous analyzer,8,14,C0073
C0178,Innovative directional infrastructure,3,38,C0153
C0179,Managed composite moratorium,2,2,C0099
C0180,Ameliorated reciprocal groupware,9,34,C0143
C0181,Stand-alone neutral synergy,9,40,C0027
C0182,Up-sized didactic analyzer,5,33,C0118
C0183,Future-proofed upward-trending Graphic Interface,4,40,C0028
C0184,Intuitive global functionalities,9,36,C0148
C0185,Ergonomic foreground data-warehouse,1,36,C0095
C0186,Future-proofed intangible website,7,39,C0151
C0187,Profit-focused clear-thinking ability,6,21,C0125
C0188,Implemented tangible flexibility,7,17,C0127
C0189,Cross-platform client-server knowledgebase,7,17,C0105
C0190,Persevering responsive policy,8,39,C0166
C0191,Monitored asynchronous intranet,8,9,C0159
C0192,Monitored empowering parallelism,3,14,C0016
C0193,Persevering coherent application,8,20,C0151
C0194,Ergonomic demand-driven budgetary management,4,24,C0013
C0195,Multi-tiered logistical product,9,34,C0042
C0196,Up-sized bandwidth-monitored initiative,3,31,C0126
C0197,Reactive dedicated moratorium,1,26,C0123
C0198,Inverse systematic superstructure,6,17,C0057
C0199,Digitized attitude-oriented emulation,9,23,C0125
C0200,Networked logistical encoding,6,24,C0177
